scenario,policy,n,future_useful_retention,q2_future_useful_retention,q3_future_useful_retention,q2_hot_evidence_recall,q3_hot_evidence_recall,q2_answer_accuracy,q3_answer_accuracy,retained_useless_blocks,retention_precision,eviction_regret,promotion_count,eviction_count,churn,cold_blocks_total,cold_bytes_total
negation_condition,oracle_future_reuse,12,0.75,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,52.0,40.0,92.0,0.0,0.0
negation_condition,recency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,40.0,92.0,5.0,1280.0
negation_condition,rmm_like,12,0.75,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,54.0,42.0,96.0,2.0,512.0
negation_condition,task_utility,12,0.75,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,54.0,42.0,96.0,2.0,512.0
obsolete_information,attention,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,40.0,92.0,3.0,768.0
obsolete_information,frequency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,40.0,92.0,3.0,768.0
obsolete_information,oracle_future_reuse,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,52.0,40.0,92.0,1.0,256.0
obsolete_information,recency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,40.0,92.0,3.0,768.0
obsolete_information,rmm_like,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,41.0,94.0,3.0,768.0
obsolete_information,task_utility,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,41.0,94.0,3.0,768.0
related_nonidentical,attention,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,41.0,94.0,6.0,1536.0
related_nonidentical,frequency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,41.0,94.0,6.0,1536.0
related_nonidentical,oracle_future_reuse,12,0.666667,0.666667,0.666667,1.0,1.0,1.0,1.0,0.0,1.0,0.333333,53.0,41.0,94.0,0.0,0.0
related_nonidentical,recency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,41.0,94.0,6.0,1536.0
related_nonidentical,rmm_like,12,0.333333,0.333333,0.333333,0.5,0.5,0.0,0.0,0.0,1.0,0.666667,55.0,43.0,98.0,4.0,1024.0
related_nonidentical,task_utility,12,0.333333,0.333333,0.333333,0.5,0.5,0.0,0.0,0.0,1.0,0.666667,55.0,43.0,98.0,4.0,1024.0
repeated_useful,attention,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,39.0,90.0,3.0,768.0
repeated_useful,frequency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,39.0,90.0,3.0,768.0
repeated_useful,oracle_future_reuse,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,51.0,39.0,90.0,0.0,0.0
repeated_useful,recency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,39.0,90.0,3.0,768.0
repeated_useful,rmm_like,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,52.0,40.0,92.0,1.0,256.0
repeated_useful,task_utility,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,52.0,40.0,92.0,1.0,256.0
state_update,attention,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,40.0,92.0,3.0,768.0
state_update,frequency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,40.0,92.0,3.0,768.0
state_update,oracle_future_reuse,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,52.0,40.0,92.0,1.0,256.0
state_update,recency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,40.0,92.0,3.0,768.0
state_update,rmm_like,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,41.0,94.0,3.0,768.0
state_update,task_utility,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,41.0,94.0,3.0,768.0
